id,id_orar,ora_inceput,ora_final,profesor,materie,sala,saptamana,grupa
854,65,12:00,14:00,"Predut SN",TestSistSoft,"Sala 201(BD)","Impar / Par",none
855,65,12:00,14:00,"-Dragulici D",SistOpLinux,"Sala 220","Impar / Par",none
856,65,12:00,15:00,"Predut SN",TestSistSoft,"Sala 202","Impar / Par",none
857,65,18:00,20:00,"Dragulici D.",Comp&Translat,"Sala 8",Impar,none
858,65,14:00,16:00,"Dragulici D",SistOpLinux,"Sala L-322","Impar / Par",none
859,65,16:00,18:00,"Dragulici D",Comp&Translat,"Sala L-322","Impar / Par",none
860,66,8:00,10:00,"Dinu L",Comp&Translat,"Amf. Stoilow (Et. 1)","Impar / Par",none
861,66,16:00,18:00,"Dragulici D",Comp&Translat,"Sala L-308","Impar / Par",none
862,66,12:00,14:00,"-Dragulici D",SistOpLinux,"Sala 220","Impar / Par",none
863,66,14:00,16:00,"Predut SN",TestSistSoft,"Sala L.310","Impar / Par",none
864,66,16:00,18:00,"Dragulici D",Comp&Translat,"Sala 120",Impar,none
865,66,18:00,20:00,"Dragulici D",SistOpLinux,"Sala 201(BD)","Impar / Par",none
866,66,12:00,15:00,"Predut SN",TestSistSoft,"Sala 202","Impar / Par",none
867,67,12:00,14:00,"Popescu RC",Geom&AlgLin,"Amf. Titeica (Et. 3)","Impar / Par",none
868,67,14:00,16:00,"Dumitran M",StructDate,"Amf. Titeica (Et. 3)","Impar / Par",none
869,67,16:00,18:00,"Dumitran M ",StructDate,"Sala L.221C",Impar,Grupa:1
870,67,16:00,18:00,"Dumitran M ",StructDate,"Sala L.221C",Par,Grupa:2
871,67,8:00,10:00,"Micluta M",POO,"Sala L.121D","Impar / Par",Grupa:1
872,67,10:00,12:00,"Paun A",LbForm&Autom,"Amf. Pompeiu (Et. 2)","Impar / Par",none
873,67,12:00,14:00,"Mihai G",BD,"Sala 201(BD)","Impar / Par",none
874,67,14:00,16:00,"Mihai G",BD,"Sala 201(BD)","Impar / Par",Grupa:2
875,67,10:00,12:00,"Dumitran M",StructDate,"Sala 3",Impar,none
876,67,12:00,14:00,"Dobrovat A",POO,"Amf. Pompeiu (Et. 2)","Impar / Par",none
877,67,14:00,16:00,"Chirita Ca",TehniciWeb,"Sala L.310","Impar / Par",Grupa:2
878,67,8:00,10:00,"Costan M ",LbForm&Autom,"Sala L.221A",Impar,Grupa:1
879,67,10:00,12:00,"Halanay A",GeomAlgLin,"Sala 1","Impar / Par",none
880,67,12:00,14:00,"Chirita Ca",TehniciWeb,"Sala L.221A","Impar / Par",Grupa:1
881,67,14:00,16:00,"Chirita Ca",TehniciWeb,"Amf. Hater (Et. 0)","Impar / Par",none
882,67,12:00,14:00,"Micluta M",POO,"Sala L.302A","Impar / Par",Grupa:2
883,67,8:00,10:00,"Costan M ",LbForm&Autom,"Sala L.221A",Par,Grupa:2
884,67,10:00,12:00,"Marin Le",BD,"Amf. Stoilow (Et. 1)","Impar / Par",none
885,67,12:00,14:00,"Cheptea D",LbForm&Autom,"Sala 1",Impar,none
886,67,14:00,16:00,"Cheptea D",POO,"Sala 216",Impar,none
887,68,8:00,10:00,"Dinu L",Comp&Translat,"Amf. Stoilow (Et. 1)","Impar / Par",none
888,68,14:00,16:00,"Dragulici D",Comp&Translat,"Sala L-308","Impar / Par",none
889,68,12:00,14:00,"-Dragulici D",SistOpLinux,"Sala 220","Impar / Par",none
890,68,16:00,18:00,"Predut SN",TestSistSoft,"Sala L-309","Impar / Par",none
891,68,18:00,20:00,"Dragulici D",SistOpLinux,"Sala L-309","Impar / Par",none
892,68,12:00,15:00,"Predut SN",TestSistSoft,"Sala 202","Impar / Par",none
893,68,18:00,20:00,"Dragulici D",Comp&Translat,"Sala 8",Par,none
894,69,14:00,17:00,"Bulacu D",Grup&Reprezentari,"Sala 216","Impar / Par",none
895,69,17:00,20:00,"Stefan D",AlgebraOmologica,"Sala 1","Impar / Par",none
896,69,17:00,20:00,"Aprodu M",GeomAlgebr,"Sala 3","Impar / Par",none
897,69,17:00,20:00,"Paunescu L",ElemAn&AnFourier,"Sala 120","Impar / Par",none
898,69,16:00,19:00,"Gica A",TeoriaNr,"Sala 0","Impar / Par",none
899,70,17:00,20:00,"Fat S",Proi&ManagProgrEdu,"Sala 0","Impar / Par",none
900,70,15:00,18:00,"Munteanu R",ComplAnMateProf,"Sala q2","Impar / Par",none
901,70,18:00,20:00,"Mincu G",TutPractPedagObs,"Sala 12",Par,none
902,70,17:00,20:00,"Gherghe C",CompllGeomProf,"Sala 215(Alg)","Impar / Par",none
903,70,17:00,20:00,"Dumitrescu T",ComplAlgebraProf,"Sala 215(Alg)","Impar / Par",none
904,70,18:00,20:00,"402 - none",TutPractPedagOb,"Sala Ss","Impar / Par",none
905,71,17:00,20:00,"Iftimie B",IntrTeorRisc&Actu,"Sala 10","Impar / Par",none
906,71,17:00,20:00,"Cimpean I",BazeCalcStoclto,"Sala T2","Impar / Par",none
907,71,16:00,19:00,"Patriche M",LecTeorJoc,"Sala 5","Impar / Par",none
908,71,17:00,19:00,"Amarioarei A",InstStatPtFin,"Sala 215(Alg)","Impar / Par",none
909,71,19:00,20:00,Amarioarei,,"Sala J2A","Impar / Par",none
910,72,17:00,19:00,PaunA,ModSintactSistBio,"Sala 215(Alg)","Impar / Par",none
911,72,19:00,20:00,"Paun A",ModSintactSistBio,"Sala 215(Alg)","Impar / Par",none
912,73,18:00,20:00,"Ichim B / Paduraru C","Big Data","Amf. Hater (Et. 0)","Impar / Par",none
913,73,16:00,18:00,"Ichim B / Paduraru C","Big Data ","Sala L-204",Impar,Grupa:1
914,73,18:00,20:00,"Ichim B / Paduraru C","Big Data ","Sala L-204",Impar,Grupa:2
915,73,16:00,18:00,"Ichim B / Paduraru C","Big Data ","Sala L-204",Par,Grupa:3
916,73,18:00,20:00,"Ichim B / Paduraru C","Big Data ","Sala L-204",Par,Grupa:4
917,73,8:00,10:00,"BanuDem. I",AplWebPtBD,"Amf. Titeica (Et. 3)","Impar / Par",none
918,73,10:00,12:00,"BanuDem. I ",ApllWebPtBD,"Sala L-204",Impar,Grupa:1
919,73,10:00,12:00,"BanuDem. I ",AplWebPtBD,"Sala L-204",Par,Grupa:2
920,73,14:00,16:00,industrie,DezvSoftDispMob,"Sala 202",Impar,none
921,73,18:00,20:00,industrie,DezvSoftDispMob,"Sala L.305","Impar / Par",Grupa:1
922,73,16:00,18:00,industrie,DezvSoftDispMob,"Sala L.305","Impar / Par",Grupa:2
923,74,18:00,20:00,"llinca D","NManacdementercch 3","Sala L-309",Impar,none
924,74,8:00,10:00,"Tataram M ",PagWebSemantice,"Sala 202",Impar,Grupa:1
925,74,16:00,18:00,"Tataram M",PagWebSemantice,"Sala 202","Impar / Par",none
926,74,18:00,20:00,"Tataram M ",PagWebSemantice,"Sala 202",Par,Grupa:2
927,74,18:00,20:00,"llie CA","Managementerset 2","Sala L-322",Par,none
928,74,8:00,10:00,"Stefanescu A",ManagementPrSoft,"Amf. Titeica (Et. 3)","Impar / Par",none
929,74,10:00,11:00,"Stefanescu A",ManagementPrSoff,"Sala L-321","Impar / Par",Grupa:1
930,75,16:00,18:00,"Hristea F","NatLangProc 1 ","Sala 201(BD)",Impar,Grupa:1
931,75,18:00,20:00,"Hristea F","NatLangProc 1 ","Sala 201(BD)",Impar,Grupa:2
932,75,18:00,20:00,"Hristea F","NatLangProc 1 ","Sala 201(BD)",Par,Grupa:4
933,75,16:00,18:00,"Alexe B",ComputerVision,"Amf. Titeica (Et. 3)","Impar / Par",none
934,75,18:00,20:00,"Georgescu I","ComputerVision ","Sala L-308",Impar,Grupa:4
935,75,8:00,10:00,"Alexe B","AdvMachLearn ","Sala 3",Impar,Grupa:3
936,75,18:00,20:00,"Georgescu I","ComputerVision ","Sala L-308",Par,Grupa:2
937,75,18:00,20:00,"Hristea F","NatLangProc 1 ","Sala L.218",Par,Grupa:3
938,75,8:00,10:00,"Alexe B","AdvMachLearn ","Sala 3",Par,Grupa:4
939,75,16:00,18:00,"Hristea F","NatLangProc 1","Amf. Pompeiu (Et. 2)","Impar / Par",none
940,75,8:00,10:00,"Alexe B","ComputerVision ","Sala L-309",Impar,Grupa:3
941,75,8:00,10:00,"Alexe B","ComputerVision ","Sala L-309",Par,Grupa:4
942,75,8:00,10:00,"Alexe B",AdvMachLearn,"Amf. Stoilow (Et. 1)","Impar / Par",none
943,75,10:00,12:00,"Alexe B","AdvMachLearn ","Sala 3",Impar,Grupa:1
944,75,10:00,12:00,"Alexe B","AdvMachLearn ","Sala 3",Par,Grupa:2
945,76,8:00,10:00,"Serbanuta T",ImplConclInLbProgr,"Sala 202","Impar / Par",none
946,76,10:00,12:00,"Budau A ",ImplConcInLbProgr,"Sala L-322",Impar,Grupa:1
947,76,10:00,12:00,"Budau A ",ImplConcInLbProgr,"Sala L-322",Par,Grupa:2
948,76,16:00,18:00,"Tataram M",PagWebSemantice,"Sala 202","Impar / Par",none
949,76,18:00,20:00,"Tataram M ",PagWebSemantice,"Sala 202",Impar,Grupa:1
950,76,8:00,10:00,"Tataram M ",PagWebSemantice,"Sala 202",Par,Grupa:2
951,77,18:00,20:00,"Stancu A ",VerifProg,"Sala L-308",Impar,Grupa:2
952,77,18:00,20:00,"Stancu A ",VerifProg,"Sala L-308",Par,Grupa:1
953,77,8:00,10:00,"Murgan M ",SO:Proiec&Securit,"Sala L-322",Impar,Grupa:1
954,77,10:00,12:00,"lrofti P",SO:Proiec&Securit,"Sala 220","Impar / Par",none
955,77,8:00,10:00,"Murgan M ",SO:Proiec&Securit,"Sala L-322",Par,Grupa:2
956,77,16:00,18:00,"Olimid R",SecuritRetele,"Sala Zig","Impar / Par",none
957,77,8:00,10:00,"Olimid R ",SecuritRetele,"Sala L.221C",Par,Grupa:1
958,77,18:00,20:00,"Olimid R ",SecuritRetele,"Sala L.218",Par,Grupa:2
959,77,8:00,10:00,"Serbanuta T",VerifProg,"Sala 202","Impar / Par",none
960,78,12:00,14:00,"Popescu RC",Geom&AlgLin,"Amf. Titeica (Et. 3)","Impar / Par",none
961,78,14:00,16:00,"Dumitran M",StructDate,"Amf. Titeica (Et. 3)","Impar / Par",none
